Capacity,BlockSize,Associativity,WriteThrough,WriteAllocate,MissRate,TotalTime
262144,4,1,1,1,0.178401,2041351
262144,8,1,0,0,0.211611,2053551
262144,8,1,0,1,0.178401,3004851
262144,8,1,1,0,0.211611,2011911
262144,8,1,1,1,0.178401,2041351
262144,16,1,0,0,0.169816,1959951
262144,16,1,0,1,0.154915,2916571
262144,16,1,1,0,0.169816,1907631
262144,16,1,1,1,0.154915,1939831
262144,32,1,0,0,0.148084,1913231
262144,32,1,0,1,0.137092,2884751
262144,32,1,1,0,0.148084,1847031
262144,32,1,1,1,0.137092,1872351
262144,64,1,0,0,0.105236,1741571
262144,64,1,0,1,0.0919002,2697931
262144,64,1,1,0,0.105236,1672411
262144,64,1,1,1,0.0919002,1669951
262144,128,1,0,0,0.083616,1649651
262144,128,1,0,1,0.0721032,2615591
262144,128,1,1,0,0.083616,1581531
262144,128,1,1,1,0.0721032,1582751
262144,256,1,0,0,0.0748976,1597031
262144,256,1,0,1,0.0631827,2580151
262144,256,1,1,0,0.0748976,1541311
262144,256,1,1,1,0.0631827,1543751
262144,1,2,0,0,0.204543,2011931
262144,1,2,0,1,0.171471,2975611
262144,1,2,1,0,0.204543,1993591
262144,1,2,1,1,0.171471,2006951
